© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	5.75E00	2.05E-01	NaN	CD74,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,PDIA3,PSMB6	
HER-2 Signaling in Breast Cancer	5.49E00	7.93E-02	2.828	ARF5,CDKN1A,COX4I1,COX5A,COX6A1,COX6A2,COX6B1,Cox6c,COX7A2,COX7A2L,COX7B,COX8A,CYB5A,EGF,HBEGF,ITGB1,NFKBIA,RPS6	
Ferroptosis Signaling Pathway	5.13E00	9.85E-02	-0.832	ABCA1,ACSL4,ARF5,CDKN1A,FTH1,FTL,GCLC,GPX4,NFE2L2,SLC1A5,SLC3A2,SQSTM1,WWTR1	
Iron homeostasis signaling pathway	4.89E00	9.35E-02	NaN	ATP6V0B,ATP6V0C,ATP6V1F,ATP6V1G1,BMPR2,EGF,EPAS1,FTH1,FTL,HP,IL6,JAK1,JAK2	
Role of JAK family kinases in IL-6-type Cytokine Signaling	4.86E00	2.4E-01	NaN	IL6,IL6ST,JAK1,JAK2,OSMR,PTPN11	
Caveolar-mediated Endocytosis Signaling	4.4E00	1.2E-01	NaN	COPE,EGF,FLNA,FLNB,HLA-A,HLA-E,ITGA6,ITGB1,PTPN1	
Protein Ubiquitination Pathway	4.36E00	6.55E-02	NaN	ANAPC11,BAG1,DNAJB1,DNAJB14,DNAJB9,DNAJC3,HLA-A,HLA-E,HSP90AB1,HSP90B1,HSPA5,PSMA3,PSMA7,PSMB3,PSMB6,PSME1,RPS27A,UBC	
Huntington's Disease Signaling	4.2E00	6.36E-02	0.816	ATP5F1B,ATP5F1C,ATP5F1D,ATP5MC1,ATP5PF,DNAJB1,EGF,GNG5,HSPA5,ITPR1,POLR2E,PSMA3,PSMA7,PSMB3,PSMB6,PSME1,RPS27A,UBC	
Fatty Acid β-oxidation I	3.98E00	1.71E-01	-0.816	ACAA2,ACSL4,ECHS1,ECI1,HSD17B10,SCP2	
Acute Phase Response Signaling	3.61E00	7.03E-02	2.714	FTL,HP,IL33,IL6,IL6ST,ITIH4,JAK2,NFKBIA,NR3C1,OSMR,PTPN11,SOCS2,TNFRSF1A	
Oncostatin M Signaling	3.47E00	1.4E-01	2.236	EPAS1,IL6ST,JAK1,JAK2,OSMR,TIMP3	
Actin Cytoskeleton Signaling	3.42E00	6.12E-02	0.000	APC,EGF,EZR,FLNA,IQGAP1,ITGA6,ITGB1,MPRIP,MSN,MYH7,MYH9,MYL6,PFN1,TLN1,VCL	
LXR/RXR Activation	3.39E00	8.13E-02	-0.378	ABCA1,CLU,ECHS1,IL33,IL6,ITIH4,LPL,LYZ,SCD,TNFRSF1A	
Th1 and Th2 Activation Pathway	3.34E00	6.98E-02	NaN	BMPR2,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,ICAM1,IL33,IL6,IRF1,JAK1,JAK2,MAF	
PD-1, PD-L1 cancer immunotherapy pathway	3.24E00	8.49E-02	-1.667	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,JAK1,JAK2,PTPN11,TNFRSF1A	
Phagosome Maturation	3.08E00	6.92E-02	NaN	ATP6V0B,ATP6V0C,ATP6V1F,ATP6V1G1,DYNLRB1,HLA-A,HLA-DRB5,HLA-E,LAMP1,PRDX1,VPS28	
Role of JAK2 in Hormone-like Cytokine Signaling	3.08E00	1.47E-01	NaN	JAK1,JAK2,PTPN1,PTPN11,SOCS2	
Unfolded protein response	3.07E00	8.89E-02	1.342	DNAJB1,DNAJB14,DNAJB9,DNAJC3,HSP90B1,HSPA5,NFE2L2,PPP1R15A	
Th2 Pathway	3.03E00	7.3E-02	1.000	BMPR2,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,ICAM1,IL33,JAK1,JAK2,MAF	
Agranulocyte Adhesion and Diapedesis	3.01E00	6.07E-02	NaN	Cxcl15,CXCL2,EZR,GLG1,ICAM1,IL33,ITGA6,ITGB1,MSN,MYH7,MYH9,MYL6,TNFRSF1A	
Neuregulin Signaling	2.94E00	7.69E-02	0.447	EGF,ERRFI1,HBEGF,HSP90AB1,HSP90B1,ITGA6,ITGB1,PTPN11,RPS6	
Leukocyte Extravasation Signaling	2.9E00	6.22E-02	0.905	CTNNA1,CTNND1,DLC1,EZR,FER,ICAM1,ITGB1,MSN,MYL6,PTPN11,TIMP3,VCL	
FAT10 Signaling Pathway	2.85E00	1.07E-01	NaN	PSMA3,PSMA7,PSMB3,PSMB6,PSME1,SQSTM1	
NADH Repair	2.84E00	6.67E-01	NaN	GAPDH,NAXE	
Germ Cell-Sertoli Cell Junction Signaling	2.82E00	6.43E-02	NaN	CTNNA1,CTNND1,FER,FNBP1,IQGAP1,ITGA6,ITGB1,NECTIN3,TJP1,TNFRSF1A,VCL	
Th1 Pathway	2.81E00	7.38E-02	2.121	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,ICAM1,IL6,IRF1,JAK1,JAK2	
ILK Signaling	2.77E00	6E-02	-0.577	FERMT2,FLNA,FLNB,FNBP1,ITGB1,MYH7,MYH9,MYL6,NACA,TNFRSF1A,VCL,VEGFA	
IL-6 Signaling	2.67E00	7.03E-02	3.000	IL33,IL6,IL6ST,JAK2,MCL1,NFKBIA,PTPN11,TNFRSF1A,VEGFA	
JAK/STAT Signaling	2.65E00	8.54E-02	1.134	CDKN1A,IL6,JAK1,JAK2,PTPN1,PTPN11,SOCS2	
Atherosclerosis Signaling	2.6E00	6.87E-02	NaN	CLU,GLG1,ICAM1,IL33,IL6,LPL,LYZ,PLA2G1B,TNFRSF12A	
BAG2 Signaling Pathway	2.59E00	8.33E-02	NaN	CDKN1A,HSPA5,PSMA3,PSMA7,PSMB3,PSMB6,PSME1	
Glutathione Redox Reactions I	2.5E00	1.43E-01	NaN	GPX1,GPX4,Gsta4,GSTP1	
Role of PKR in Interferon Induction and Antiviral Response	2.49E00	6.62E-02	-0.333	ATF3,DNAJC3,HSP90AB1,HSP90B1,HSPA5,IRF1,JAK1,NFKBIA,TNFRSF1A	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.45E00	5.76E-02	2.111	CAT,CLU,FNBP1,IRF1,JAK1,JAK2,LYZ,NFKBIA,PPP1CA,PPP1R10,TNFRSF1A	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	2.4E00	5.67E-02	NaN	COL12A1,ECE1,EGF,ICAM1,IL6,KLF6,MYH7,MYH9,MYL6,TNFRSF1A,VEGFA	
Wound Healing Signaling Pathway	2.38E00	5.16E-02	1.387	BMPR2,COL12A1,EGF,HBEGF,IL33,IL6,ITGA6,ITGB1,JAK1,JAK2,NFKBIA,TNFRSF1A,VEGFA	
IL-4 Signaling	2.35E00	7.53E-02	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,JAK1,JAK2,NR3C1	
Protein Kinase A Signaling	2.34E00	4.4E-02	-0.577	AKAP1,AKAP11,ANAPC11,ANAPC13,DUSP16,FLNA,FLNB,GNAS,GNG5,H3-3A/H3-3B,ITPR1,MYL6,NFKBIA,PDIA3,PPP1CA,PPP1R10,PTPN1,PTPN11	
Pentose Phosphate Pathway (Oxidative Branch)	2.33E00	4E-01	NaN	PGD,PGLS	
FAT10 Cancer Signaling Pathway	2.32E00	1E-01	1.342	BMPR2,EEF1A1,IL6,NFKBIA,TNFRSF1A	
Neuroinflammation Signaling Pathway	2.32E00	4.73E-02	3.207	APP,BMPR2,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,ICAM1,IL6,JAK1,JAK2,NFE2L2,PLA2G1B,S100G,TNFRSF1A	
Isoleucine Degradation I	2.17E00	1.67E-01	NaN	ACAA2,ECHS1,HSD17B10	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	2.17E00	1.67E-01	NaN	ACAA2,FDPS,PMVK	
MIF-mediated Glucocorticoid Regulation	2.1E00	1.11E-01	0.000	CD74,NFKBIA,NR3C1,PLA2G1B	
Epithelial Adherens Junction Signaling	2.09E00	5.73E-02	0.333	BMPR2,CTNNA1,CTNND1,EGF,FER,IQGAP1,NECTIN3,TNS1,VCL	
RHOGDI Signaling	2.07E00	5.12E-02	-0.378	DLC1,EZR,FNBP1,GNAS,GNG5,ITGA6,ITGB1,MSN,MYH7,MYH9,MYL6	
STAT3 Pathway	1.99E00	5.93E-02	2.449	BMPR2,CDKN1A,EGF,IL6ST,JAK2,NDUFA13,SOCS2,VEGFA	
Endoplasmic Reticulum Stress Pathway	1.98E00	1.43E-01	NaN	DNAJC3,HSP90B1,HSPA5	
Aldosterone Signaling in Epithelial Cells	1.97E00	5.49E-02	NaN	DNAJB1,DNAJB14,DNAJB9,DNAJC3,HSP90AB1,HSP90B1,HSPA5,ITPR1,PDIA3	
CLEAR Signaling Pathway	1.95E00	4.56E-02	0.277	ATP6V0B,ATP6V0C,ATP6V1F,ATP6V1G1,BLOC1S1,BMPR2,EGF,GABARAP,ITPR1,LAMP1,LAMTOR2,TNFRSF1A,VEGFA	
PPARα/RXRα Activation	1.94E00	5.13E-02	-2.121	ABCA1,BMPR2,GNAS,HSP90AB1,HSP90B1,IL6,JAK2,LPL,NFKBIA,PDIA3	
Androgen Signaling	1.89E00	5.33E-02	NaN	DNAJB1,GNAS,GNG5,H3-3A/H3-3B,ITPR1,NCOA2,POLR2E,TAF1,TAF10	
PI3K/AKT Signaling	1.88E00	5.03E-02	1.134	CDKN1A,HSP90AB1,HSP90B1,IL6ST,ITGA6,ITGB1,JAK1,JAK2,MCL1,NFKBIA	
ID1 Signaling Pathway	1.87E00	5E-02	0.632	ABI1,APP,ATF3,BMPR2,CDKN1A,EGF,EGR1,IL6,TNFRSF1A,VEGFA	
Regulation of Cellular Mechanics by Calpain Protease	1.86E00	6.74E-02	NaN	EGF,EZR,ITGA6,ITGB1,TLN1,VCL	
Role of Tissue Factor in Cancer	1.84E00	6.03E-02	NaN	EGR1,HBEGF,ITGA6,ITGB1,JAK2,PTPN11,VEGFA	
Ephrin Receptor Signaling	1.82E00	4.93E-02	0.000	ABI1,ADAM10,EGF,GNAS,GNG5,ITGA6,ITGB1,JAK2,PTPN11,VEGFA	
B Cell Development	1.8E00	9.09E-02	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5	
Remodeling of Epithelial Adherens Junctions	1.77E00	7.35E-02	NaN	APC,CTNNA1,CTNND1,IQGAP1,VCL	
Tight Junction Signaling	1.75E00	5.06E-02	NaN	CTNNA1,MYH7,MYH9,MYL6,NECTIN3,TJP1,TJP2,TNFRSF1A,VCL	
Insulin Secretion Signaling Pathway	1.73E00	4.4E-02	0.000	EIF4G1,EIF4G2,GNAS,ITPR1,JAK1,JAK2,PDIA3,SEC11C,SEC61B,SEC61G,SPCS1,SRP14	
iNOS Signaling	1.71E00	8.51E-02	NaN	IRF1,JAK1,JAK2,NFKBIA	
Autophagy	1.67E00	4.65E-02	-1.667	EGF,GABARAP,LAMP1,MAP1LC3A,SLC1A5,SLC3A2,SQSTM1,TNFRSF1A,VAMP8,VEGFA	
Methylthiopropionate Biosynthesis	1.66E00	1E00	NaN	ADI1	
Sorbitol Degradation I	1.66E00	1E00	NaN	SORD	
Histamine Biosynthesis	1.66E00	1E00	NaN	HDC	
Pentose Phosphate Pathway	1.63E00	1.82E-01	NaN	PGD,PGLS	
Granulocyte Adhesion and Diapedesis	1.61E00	4.76E-02	NaN	Cxcl15,CXCL2,EZR,GLG1,ICAM1,IL33,ITGB1,MSN,TNFRSF1A	
Aryl Hydrocarbon Receptor Signaling	1.6E00	5.03E-02	-0.378	CDKN1A,GSTP1,HSP90AB1,HSP90B1,IL6,NCOA2,NEDD8,NFE2L2	
Superpathway of Cholesterol Biosynthesis	1.59E00	1.03E-01	NaN	ACAA2,FDPS,PMVK	
Virus Entry via Endocytic Pathways	1.56E00	5.77E-02	NaN	CXADR,FLNA,FLNB,HLA-A,HLA-E,ITGB1	
Mouse Embryonic Stem Cell Pluripotency	1.56E00	5.77E-02	1.633	APC,BMPR2,IL6ST,JAK1,JAK2,PTPN11	
Clathrin-mediated Endocytosis Signaling	1.55E00	4.66E-02	NaN	CLU,EGF,ITGB1,LYZ,MYO6,PICALM,RPS27A,UBC,VEGFA	
PPAR Signaling	1.5E00	5.61E-02	-2.449	HSP90AB1,HSP90B1,IL33,NFKBIA,SCAND1,TNFRSF1A	
Oleate Biosynthesis II (Animals)	1.49E00	1.54E-01	NaN	CYB5A,SCD	
CNTF Signaling	1.43E00	7.02E-02	2.000	IL6ST,JAK1,JAK2,PTPN11	
Mevalonate Pathway I	1.43E00	1.43E-01	NaN	ACAA2,PMVK	
Polyamine Regulation in Colon Cancer	1.41E00	6.9E-02	0.000	APC,AZIN1,OAZ1,SLC3A2	
Colorectal Cancer Metastasis Signaling	1.41E00	4.06E-02	1.508	APC,EGF,FNBP1,GNAS,GNG5,IL6,IL6ST,JAK1,JAK2,TNFRSF1A,VEGFA	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	1.41E00	5.31E-02	-2.449	ATP6V0B,ATP6V0C,ATP6V1F,ATP6V1G1,NFKBIA,PLA2G1B	
Sertoli Cell-Sertoli Cell Junction Signaling	1.4E00	4.37E-02	NaN	CTNNA1,ITGA6,ITGB1,NECTIN3,SPTBN1,TJP1,TJP2,TNFRSF1A,VCL	
CDK5 Signaling	1.39E00	5.26E-02	0.000	EGR1,GNAS,ITGA6,ITGB1,PPP1CA,PPP1R10	
Prolactin Signaling	1.38E00	5.81E-02	2.000	IRF1,JAK2,NR3C1,PTPN11,SOCS2	
HIF1α Signaling	1.38E00	4.33E-02	1.000	CDKN1A,EGF,HK1,HSPA5,IL6,LDHB,RACK1,RPS6,VEGFA	
Telomere Extension by Telomerase	1.38E00	1.33E-01	NaN	HNRNPA2B1,TNKS	
Xenobiotic Metabolism AHR Signaling Pathway	1.36E00	5.75E-02	-0.447	GSTP1,HSP90AB1,HSP90B1,IL6,NCOA2	
Regulation of Actin-based Motility by Rho	1.36E00	5.17E-02	-1.342	FNBP1,ITGA6,ITGB1,MPRIP,MYL6,PFN1	
IL-8 Signaling	1.36E00	4.29E-02	0.707	CSTB,FNBP1,GNAS,GNG5,HBEGF,ICAM1,IQGAP1,NFKBIA,VEGFA	
Interferon Signaling	1.35E00	8.33E-02	NaN	IRF1,JAK1,JAK2	
Tumor Microenvironment Pathway	1.34E00	4.47E-02	1.414	EGF,HLA-A,HLA-E,ICAM1,IL6,JAK2,TNFRSF1A,VEGFA	
Hepatic Fibrosis Signaling Pathway	1.31E00	3.55E-02	0.832	APC,BMPR2,FNBP1,FTH1,FTL,ICAM1,IL33,ITGA6,ITGB1,JAK1,JAK2,MYL6,NFKBIA,TNFRSF1A,VEGFA	
Cellular Effects of Sildenafil (Viagra)	1.31E00	4.67E-02	NaN	GNAS,ITPR1,MPRIP,MYH7,MYH9,MYL6,PDIA3	
Crosstalk between Dendritic Cells and Natural Killer Cells	1.29E00	5.49E-02	NaN	HLA-A,HLA-DRB5,HLA-E,IL6,TLN1	
IL-17A Signaling in Fibroblasts	1.29E00	7.89E-02	NaN	IL6,LCN2,NFKBIA	
Apelin Adipocyte Signaling Pathway	1.29E00	5.49E-02	-2.000	CAT,GPX1,GPX4,Gsta4,GSTP1	
IL-15 Production	1.26E00	4.88E-02	2.449	CLK1,FER,IL6,IRF1,JAK1,JAK2	
IL-17 Signaling	1.25E00	4.28E-02	2.828	HSP90AB1,HSP90B1,IL33,IL6,JAK1,JAK2,LCN2,VEGFA	
RHOA Signaling	1.24E00	4.84E-02	-0.816	DLC1,EZR,MPRIP,MSN,MYL6,PFN1	
Mitotic Roles of Polo-Like Kinase	1.24E00	6.06E-02	NaN	ANAPC11,ANAPC13,HSP90AB1,HSP90B1	
Xenobiotic Metabolism Signaling	1.24E00	3.79E-02	NaN	CAT,FTL,GCLC,GSTP1,HS2ST1,HSP90AB1,HSP90B1,IL6,MAF,NFE2L2,SCAND1	
Necroptosis Signaling Pathway	1.22E00	4.46E-02	-0.378	JAK1,PLA2G1B,SLC25A5,TIMM13,TNFRSF1A,TSPO,UBC	
IL-17A Signaling in Airway Cells	1.22E00	5.97E-02	1.000	IL6,JAK1,JAK2,NFKBIA	
Pancreatic Adenocarcinoma Signaling	1.22E00	4.76E-02	2.449	CDKN1A,EGF,HBEGF,JAK1,JAK2,VEGFA	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	1.2E00	4.17E-02	2.828	EGF,EGR1,IL6,JAK1,JAK2,PTPN11,TNFRSF1A,WWTR1	
Methylglyoxal Degradation I	1.19E00	3.33E-01	NaN	HAGH	
Glutathione Biosynthesis	1.19E00	3.33E-01	NaN	GCLC	
D-glucuronate Degradation I	1.19E00	3.33E-01	NaN	DCXR	
Thiosulfate Disproportionation III (Rhodanese)	1.19E00	3.33E-01	NaN	TST	
L-serine Degradation	1.19E00	3.33E-01	NaN	SRR	
γ-linolenate Biosynthesis II (Animals)	1.19E00	1.05E-01	NaN	ACSL4,CYB5A	
Xenobiotic Metabolism PXR Signaling Pathway	1.19E00	4.15E-02	-1.414	CAT,GSTP1,HS2ST1,HSP90AB1,HSP90B1,PPP1CA,PPP1R10,SCAND1	
SPINK1 General Cancer Pathway	1.18E00	5.8E-02	2.000	IL6,JAK1,JAK2,Mt1	
Glutaryl-CoA Degradation	1.15E00	1E-01	NaN	ACAA2,HSD17B10	
MIF Regulation of Innate Immunity	1.14E00	6.82E-02	NaN	CD74,NFKBIA,PLA2G1B	
G Protein Signaling Mediated by Tubby	1.14E00	6.82E-02	NaN	GNAS,GNG5,JAK2	
Signaling by Rho Family GTPases	1.13E00	3.73E-02	0.707	EZR,FNBP1,GNAS,GNG5,IQGAP1,ITGA6,ITGB1,MSN,MYL6,STMN1	
GABA Receptor Signaling	1.13E00	4.51E-02	NaN	GABARAP,GNAS,GNG5,ITPR1,RPS27A,UBC	
IL-10 Signaling	1.13E00	5.56E-02	NaN	IL33,IL6,JAK1,NFKBIA	
Osteoarthritis Pathway	1.1E00	3.81E-02	1.134	BMPR2,CTNNA1,EPAS1,ITGA6,ITGB1,SIK3,TIMP3,TNFRSF1A,VEGFA	
IGF-1 Signaling	1.1E00	4.81E-02	2.000	IGFBP7,JAK1,JAK2,PTPN11,SOCS2	
ERK5 Signaling	1.09E00	5.41E-02	2.000	EGF,FOSL1,IL6ST,PTPN11	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	1.08E00	5.33E-02	0.000	ADRB2,GNAS,ITPR1,PDIA3	
Eumelanin Biosynthesis	1.07E00	2.5E-01	NaN	DDT	
Glutathione Redox Reactions II	1.07E00	2.5E-01	NaN	PDIA3	
Acetate Conversion to Acetyl-CoA	1.07E00	2.5E-01	NaN	ACSS1	
Fatty Acid β-oxidation III (Unsaturated, Odd Number)	1.07E00	2.5E-01	NaN	ECI1	
Hypoxia Signaling in the Cardiovascular System	1.06E00	5.26E-02	NaN	HSP90AB1,HSP90B1,NFKBIA,VEGFA	
Insulin Receptor Signaling	1.05E00	4.29E-02	0.816	JAK1,JAK2,PPP1CA,PPP1R10,PTPN1,PTPN11	
TREM1 Signaling	1.04E00	5.19E-02	1.000	ICAM1,IL6,ITGB1,JAK2	
Cardiomyocyte Differentiation via BMP Receptors	1.04E00	8.7E-02	NaN	BMPR2,MYH7	
Vitamin-C Transport	1.04E00	8.7E-02	NaN	LRRC8C,TXN	
Toll-like Receptor Signaling	1.03E00	5.13E-02	NaN	IL33,NFKBIA,RPS27A,UBC	
Oxytocin Signaling Pathway	1.02E00	3.55E-02	-0.632	GNG5,IL6,ITPR1,LPL,MPRIP,MYH7,MYH9,MYL6,NFE2L2,PLA2G1B	
PI3K Signaling in B Lymphocytes	1.01E00	4.2E-02	2.236	ATF3,CD81,ITPR1,MALT1,NFKBIA,PDIA3	
Ethanol Degradation IV	1.01E00	8.33E-02	NaN	ACSS1,CAT	
MYC Mediated Apoptosis Signaling	1.01E00	6E-02	NaN	ADRB2,MCL1,TNFRSF1A	
Assembly of RNA Polymerase II Complex	1.01E00	6E-02	NaN	POLR2E,TAF1,TAF10	
Renal Cell Carcinoma Signaling	1E00	5E-02	NaN	PTPN11,RPS27A,UBC,VEGFA	
Integrin Signaling	1E00	3.76E-02	1.134	ARF5,FNBP1,ITGA6,ITGB1,MPRIP,PFN1,TLN1,VCL	
Antioxidant Action of Vitamin C	9.91E-01	4.46E-02	-1.000	JAK2,NFKBIA,PDIA3,PLA2G1B,TXN	
BEX2 Signaling Pathway	9.83E-01	4.94E-02	-1.000	BEX1,CDKN1A,NFKBIA,VEGFA	
Trans, trans-farnesyl Diphosphate Biosynthesis	9.79E-01	2E-01	NaN	FDPS	
Prostate Cancer Signaling	9.67E-01	4.39E-02	NaN	CDKN1A,GSTP1,HSP90AB1,HSP90B1,NFKBIA	
Dilated Cardiomyopathy Signaling Pathway	9.59E-01	4.05E-02	-0.447	GNAS,ITPR1,MYH7,MYH9,MYL6,PTPN11	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	9.51E-01	7.69E-02	NaN	JAK1,JAK2	
Sperm Motility	9.47E-01	3.53E-02	0.000	CLK1,FER,GNAS,GNG5,ITPR1,JAK1,JAK2,PDIA3,PLA2G1B	
HIPPO signaling	9.28E-01	4.71E-02	NaN	PPP1CA,PPP1R10,TJP2,WWTR1	
Tryptophan Degradation III (Eukaryotic)	9.24E-01	7.41E-02	NaN	ACAA2,HSD17B10	
Molecular Mechanisms of Cancer	9.17E-01	3.13E-02	NaN	APC,BMPR2,CDKN1A,CTNNA1,CTNND1,FNBP1,GNAS,GNG5,ITGA6,ITGB1,JAK1,JAK2,NFKBIA,PTPN11	
EGF Signaling	9.17E-01	5.45E-02	NaN	EGF,ITPR1,JAK1	
Pyruvate Fermentation to Lactate	9.03E-01	1.67E-01	NaN	LDHB	
