© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Protein Ubiquitination Pathway	3.07E00	3.27E-02	NaN	DNAJB1,DNAJB9,DNAJC3,HLA-A,HSP90AA1,HSPA1A/HSPA1B,HSPE1,HSPH1,PSMB8	
Tight Junction Signaling	2.95E00	3.93E-02	NaN	CLDN18,CLDN3,CTNNA1,MYH9,MYL6,SPTAN1,TJP1	
Gα12/13 Signaling	2.9E00	4.51E-02	-2.236	MYL12A,MYL12B,MYL6,NFKBIA,RAP1A,ROCK1	
CCR3 Signaling in Eosinophils	2.87E00	4.44E-02	NaN	Calm1 (includes others),CFL2,GNAI2,MPRIP,RAP1A,ROCK1	
Th2 Pathway	2.84E00	4.38E-02	NaN	BMPR2,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,ICAM1	
IL-4 Signaling	2.83E00	5.38E-02	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,RAP1A	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.78E00	3.66E-02	-0.816	APOE,FNBP1,IFNGR1,IRF1,LYZ,NFKBIA,RAP1A	
Apelin Cardiomyocyte Signaling Pathway	2.71E00	5.05E-02	-2.236	GNAI2,MYL12A,MYL12B,MYL6,PDIA3	
Natural Killer Cell Signaling	2.68E00	3.52E-02	1.134	CFL2,HLA-A,HSPA1A/HSPA1B,Hspa1b,ITGB1,RAP1A,ROCK1	
Neuroinflammation Signaling Pathway	2.65E00	2.84E-02	-2.333	AGER,BMPR2,CD200,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,ICAM1,IFNGR1	
PD-1, PD-L1 cancer immunotherapy pathway	2.58E00	4.72E-02	1.342	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,IFNGR1	
IL-8 Signaling	2.55E00	3.33E-02	-2.449	FNBP1,GNAI2,ICAM1,MYL12B,NFKBIA,RAP1A,ROCK1	
Integrin Signaling	2.51E00	3.29E-02	-1.633	FNBP1,ITGB1,MPRIP,MYL12A,MYL12B,RAP1A,ROCK1	
Remodeling of Epithelial Adherens Junctions	2.49E00	5.88E-02	NaN	CTNNA1,CTNND1,DNM2,MET	
Calcium Signaling	2.46E00	3.21E-02	NaN	Calm1 (includes others),HDAC7,MYH9,MYL6,RAP1A,Tpm1,Tpm4	
Estrogen Receptor Signaling	2.42E00	2.45E-02	-1.667	CFL2,GNAI2,HSP90AA1,MPRIP,MYL12A,MYL12B,MYL6,PDIA3,RAP1A,ROCK1	
Ephrin B Signaling	2.41E00	5.56E-02	NaN	CFL2,GNAI2,HNRNPK,ROCK1	
Neuregulin Signaling	2.4E00	4.27E-02	NaN	AREG,ERRFI1,HSP90AA1,ITGB1,RAP1A	
Interferon Signaling	2.4E00	8.33E-02	NaN	IFNGR1,IRF1,PSMB8	
Gαq Signaling	2.37E00	3.53E-02	-1.000	Calm1 (includes others),FNBP1,GNAI2,NFKBIA,RGS16,ROCK1	
MSP-RON Signaling In Macrophages Pathway	2.37E00	4.2E-02	1.342	HLA-DMB,HLA-DQA1,HLA-DQB1,IFNGR1,RAP1A	
Osteoarthritis Pathway	2.27E00	2.97E-02	0.000	AGER,ANXA2,ANXA5,BMPR2,CTNNA1,ITGB1,TIMP3	
GP6 Signaling Pathway	2.25E00	3.94E-02	-1.342	Calm1 (includes others),COL12A1,COL4A1,COL4A2,COL6A1	
Chemokine Signaling	2.24E00	5E-02	-1.000	Calm1 (includes others),GNAI2,MPRIP,RAP1A	
Adipogenesis pathway	2.14E00	3.7E-02	NaN	BMPR2,CEBPD,HDAC7,KLF3,TXNIP	
IL-12 Signaling and Production in Macrophages	2.12E00	3.68E-02	NaN	APOE,IFNGR1,IRF1,LYZ,NFKBIA	
Clathrin-mediated Endocytosis Signaling	2.11E00	3.11E-02	NaN	APOE,DNM2,ITGB1,LYZ,MET,SH3GLB1	
PPARα/RXRα Activation	2.09E00	3.08E-02	0.000	ABCA1,BMPR2,HSP90AA1,NFKBIA,PDIA3,RAP1A	
MSP-RON Signaling In Cancer Cells Pathway	2.07E00	3.57E-02	-0.447	ETS2,ITGB1,MET,NFKBIA,RAP1A	
Histamine Biosynthesis	2.05E00	1E00	NaN	HDC	
PI3K Signaling in B Lymphocytes	2.03E00	3.5E-02	-2.236	Calm1 (includes others),MALT1,NFKBIA,PDIA3,RAP1A	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.03E00	2.44E-02	NaN	C5,Calm1 (includes others),CEBPD,ICAM1,NFKBIA,PDIA3,RAP1A,ROCK1	
Actin Nucleation by ARP-WASP Complex	2.02E00	4.3E-02	-1.000	FNBP1,ITGB1,RAP1A,ROCK1	
Coronavirus Pathogenesis Pathway	2.01E00	2.96E-02	-1.633	EEF1A1,HDAC7,NFKBIA,RPS12,RPS2,RPS28	
FAT10 Cancer Signaling Pathway	2E00	6E-02	NaN	BMPR2,EEF1A1,NFKBIA	
Death Receptor Signaling	1.97E00	4.17E-02	-1.000	LMNA,NFKBIA,ROCK1,SPTAN1	
HIF1α Signaling	1.95E00	2.88E-02	-0.816	HK2,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,MET,RAP1A	
Oxytocin Signaling Pathway	1.88E00	2.49E-02	-1.890	Calm1 (includes others),GNAI2,MPRIP,MYH9,MYL6,RAP1A,ROCK1	
Virus Entry via Endocytic Pathways	1.85E00	3.85E-02	NaN	DNM2,HLA-A,ITGB1,RAP1A	
eNOS Signaling	1.85E00	3.14E-02	-2.000	Calm1 (includes others),DNM2,HSP90AA1,HSPA1A/HSPA1B,Hspa1b	
Telomerase Signaling	1.81E00	3.74E-02	NaN	ETS2,HDAC7,HSP90AA1,RAP1A	
HOTAIR Regulatory Pathway	1.81E00	3.07E-02	-0.447	ICAM1,IRF1,MET,NFKBIA,ROCK1	
Axonal Guidance Signaling	1.79E00	1.97E-02	NaN	CFL2,GNAI2,ITGB1,MET,MYL12A,MYL12B,MYL6,PDIA3,RAP1A,ROCK1	
HER-2 Signaling in Breast Cancer	1.79E00	2.64E-02	-0.816	AREG,COX6A2,ETS2,ITGB1,NFKBIA,RAP1A	
HMGB1 Signaling	1.77E00	2.99E-02	-2.236	AGER,FNBP1,ICAM1,IFNGR1,RAP1A	
Methionine Degradation I (to Homocysteine)	1.75E00	8.7E-02	NaN	AHCY,AHCYL2	
Prostate Cancer Signaling	1.72E00	3.51E-02	NaN	HDAC7,HSP90AA1,NFKBIA,RAP1A	
cAMP-mediated signaling	1.72E00	2.55E-02	-2.000	ADRB2,AKAP1,AKAP13,Calm1 (includes others),GNAI2,RAP1A	
Molecular Mechanisms of Cancer	1.71E00	2.01E-02	NaN	BMPR2,CTNNA1,CTNND1,FNBP1,GNAI2,HDAC7,ITGB1,NFKBIA,RAP1A	
Cysteine Biosynthesis III (mammalia)	1.68E00	8E-02	NaN	AHCY,AHCYL2	
Regulation of eIF4 and p70S6K Signaling	1.65E00	2.79E-02	NaN	ITGB1,RAP1A,RPS12,RPS2,RPS28	
Cardiac Hypertrophy Signaling (Enhanced)	1.62E00	1.85E-02	-1.897	ADRB2,AKAP13,BMPR2,Calm1 (includes others),GNAI2,HDAC7,ITGB1,PDIA3,RAP1A,ROCK1	
LXR/RXR Activation	1.61E00	3.25E-02	NaN	ABCA1,APOE,LYZ,SCD	
Gαs Signaling	1.59E00	3.2E-02	NaN	ADD3,ADRB2,GNAI2,RAP1A	
Melatonin Signaling	1.58E00	4.17E-02	NaN	Calm1 (includes others),GNAI2,PDIA3	
Glioma Invasiveness Signaling	1.56E00	4.11E-02	NaN	FNBP1,RAP1A,TIMP3	
G Beta Gamma Signaling	1.55E00	3.1E-02	-2.000	CAV2,DNM2,GNAI2,RAP1A	
Caveolar-mediated Endocytosis Signaling	1.53E00	4E-02	NaN	DNM2,HLA-A,ITGB1	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	1.53E00	4E-02	NaN	ADRB2,GNAI2,PDIA3	
fMLP Signaling in Neutrophils	1.52E00	3.05E-02	-1.000	Calm1 (includes others),GNAI2,NFKBIA,RAP1A	
Macropinocytosis Signaling	1.52E00	3.95E-02	NaN	ITGB1,MET,RAP1A	
HGF Signaling	1.51E00	3.03E-02	NaN	ETS2,ITGB1,MET,RAP1A	
NF-κB Activation by Viruses	1.49E00	3.85E-02	NaN	ITGB1,NFKBIA,RAP1A	
Pulmonary Healing Signaling Pathway	1.48E00	2.51E-02	-2.236	BMPR2,CFL2,NFKBIA,RAP1A,THBS1	
PI3K/AKT Signaling	1.48E00	2.51E-02	0.000	HSP90AA1,ITGB1,MCL1,NFKBIA,RAP1A	
SNARE Signaling Pathway	1.47E00	2.94E-02	-1.000	Calm1 (includes others),MYH9,MYL6,RAB27A	
ILK Signaling	1.47E00	2.5E-02	-1.342	CFL2,FNBP1,ITGB1,MYH9,MYL6	
CDC42 Signaling	1.47E00	1.74E-02	-0.816	CFL2,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,ITGB1,MPRIP,MYL12A,MYL12B,MYL6	
PRPP Biosynthesis I	1.45E00	2.5E-01	NaN	PRPS2	
Glutathione Redox Reactions II	1.45E00	2.5E-01	NaN	PDIA3	
Fatty Acid β-oxidation III (Unsaturated, Odd Number)	1.45E00	2.5E-01	NaN	ECI1	
Ephrin Receptor Signaling	1.45E00	2.46E-02	-1.342	CFL2,GNAI2,ITGB1,RAP1A,ROCK1	
Inhibition of Angiogenesis by TSP1	1.43E00	5.88E-02	NaN	CD47,THBS1	
Apelin Endothelial Signaling Pathway	1.42E00	2.84E-02	-2.000	Calm1 (includes others),GNAI2,ICAM1,RAP1A	
PEDF Signaling	1.41E00	3.57E-02	NaN	NFKBIA,RAP1A,ROCK1	
MIF-mediated Glucocorticoid Regulation	1.39E00	5.56E-02	NaN	CD74,NFKBIA	
Huntington's Disease Signaling	1.38E00	2.12E-02	NaN	DNAJB1,DNM2,HDAC7,HSPA1A/HSPA1B,Hspa1b,PSMB8	
mTOR Signaling	1.38E00	2.36E-02	NaN	FNBP1,RAP1A,RPS12,RPS2,RPS28	
IL-17A Signaling in Fibroblasts	1.35E00	5.26E-02	NaN	CEBPD,NFKBIA	
Superpathway of Methionine Degradation	1.35E00	5.26E-02	NaN	AHCY,AHCYL2	
Phagosome Formation	1.34E00	1.59E-02	-2.111	ADGRF5,ADRB2,CFL2,ITGB1,MALT1,MYH9,MYL12A,MYL12B,MYL6,RAP1A,ROCK1	
Role of NFAT in Cardiac Hypertrophy	1.31E00	2.25E-02	-1.000	Calm1 (includes others),GNAI2,HDAC7,PDIA3,RAP1A	
T Cell Receptor Signaling	1.31E00	1.63E-02	-1.414	Calm1 (includes others),HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,ICAM1,ITGB1,MALT1,NFKBIA,RAP1A	
EIF2 Signaling	1.3E00	2.23E-02	NaN	RAP1A,RPL4,RPS12,RPS2,RPS28	
Senescence Pathway	1.3E00	2.02E-02	-1.342	BHLHE40,BMPR2,Calm1 (includes others),ETS2,RAP1A,ZFP36L1	
G-Protein Coupled Receptor Signaling	1.29E00	1.56E-02	-2.714	ADGRF5,ADRB2,Calm1 (includes others),GNAI2,MYL12A,MYL12B,MYL6,NFKBIA,RAP1A,RGS16,ROCK1	
TGF-β Signaling	1.26E00	3.12E-02	NaN	BMPR2,RAP1A,SKI	
Oncostatin M Signaling	1.25E00	4.65E-02	NaN	RAP1A,TIMP3	
MIF Regulation of Innate Immunity	1.23E00	4.55E-02	NaN	CD74,NFKBIA	
Trehalose Degradation II (Trehalase)	1.22E00	1.43E-01	NaN	HK2	
NRF2-mediated Oxidative Stress Response	1.21E00	2.11E-02	NaN	DNAJB1,DNAJB9,DNAJC3,HSP90AA1,RAP1A	
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	1.2E00	4.35E-02	NaN	ETS2,SH3GLB1	
Androgen Signaling	1.19E00	2.37E-02	NaN	Calm1 (includes others),DNAJB1,GNAI2,HSP90AA1	
Ephrin A Signaling	1.18E00	4.26E-02	NaN	CFL2,ROCK1	
PPAR Signaling	1.15E00	2.8E-02	NaN	HSP90AA1,NFKBIA,RAP1A	
α-Adrenergic Signaling	1.14E00	2.78E-02	NaN	Calm1 (includes others),GNAI2,RAP1A	
MYC Mediated Apoptosis Signaling	1.13E00	4E-02	NaN	ADRB2,MCL1	
Triacylglycerol Biosynthesis	1.13E00	4E-02	NaN	ABHD5,ELOVL1	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.09E00	2.19E-02	NaN	Calm1 (includes others),GNAI2,KCNJ15,PDIA3	
Phospholipase C Signaling	1.08E00	1.47E-02	-1.897	AHNAK,Calm1 (includes others),FNBP1,HDAC7,ITGB1,MPRIP,MYL12A,MYL12B,MYL6,RAP1A	
Acute Phase Response Signaling	1.08E00	2.16E-02	NaN	C5,HNRNPK,NFKBIA,RAP1A	
Bladder Cancer Signaling	1.07E00	2.59E-02	NaN	HDAC7,RAP1A,THBS1	
Role of Tissue Factor in Cancer	1.07E00	2.59E-02	NaN	CFL2,ITGB1,RAP1A	
Calcium Transport I	1.07E00	1E-01	NaN	ANXA5	
Dolichyl-diphosphooligosaccharide Biosynthesis	1.07E00	1E-01	NaN	DPM1	
Cholecystokinin/Gastrin-mediated Signaling	1.04E00	2.52E-02	NaN	FNBP1,RAP1A,ROCK1	
Sphingosine-1-phosphate Signaling	1.04E00	2.5E-02	NaN	FNBP1,GNAI2,PDIA3	
Endothelin-1 Signaling	1.03E00	2.08E-02	NaN	ECE1,GNAI2,PDIA3,RAP1A	
GDP-glucose Biosynthesis	1.03E00	9.09E-02	NaN	HK2	
Cancer Drug Resistance By Drug Efflux	1.02E00	3.45E-02	NaN	RAP1A,YBX1	
Glioma Signaling	1E00	2.42E-02	NaN	Calm1 (includes others),HDAC7,RAP1A	
Endometrial Cancer Signaling	1E00	3.33E-02	NaN	CTNNA1,RAP1A	
Gap Junction Signaling	9.96E-01	2.02E-02	NaN	GNAI2,PDIA3,RAP1A,TJP1	
Glucose and Glucose-1-phosphate Degradation	9.91E-01	8.33E-02	NaN	HK2	
Opioid Signaling Pathway	9.75E-01	1.79E-02	-0.447	Calm1 (includes others),GNAI2,NFKBIA,RAP1A,RGS16	
IL-6 Signaling	9.71E-01	2.34E-02	NaN	MCL1,NFKBIA,RAP1A	
Oleate Biosynthesis II (Animals)	9.59E-01	7.69E-02	NaN	SCD	
UDP-N-acetyl-D-galactosamine Biosynthesis II	9.59E-01	7.69E-02	NaN	HK2	
Synaptic Long Term Potentiation	9.51E-01	2.29E-02	NaN	Calm1 (includes others),PDIA3,RAP1A	
Atherosclerosis Signaling	9.51E-01	2.29E-02	NaN	APOE,ICAM1,LYZ	
Induction of Apoptosis by HIV1	9.43E-01	3.08E-02	NaN	NFKBIA,SLC25A4	
p70S6K Signaling	9.43E-01	2.27E-02	NaN	GNAI2,PDIA3,RAP1A	
Ferroptosis Signaling Pathway	9.43E-01	2.27E-02	NaN	ABCA1,RAP1A,SLC3A2	
P2Y Purigenic Receptor Signaling Pathway	9.36E-01	2.26E-02	NaN	GNAI2,PDIA3,RAP1A	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	9.32E-01	3.03E-02	NaN	GNAI2,NFKBIA	
Mevalonate Pathway I	9.28E-01	7.14E-02	NaN	PMVK	
CD40 Signaling	9.21E-01	2.99E-02	NaN	ICAM1,NFKBIA	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	9.17E-01	1.4E-02	-2.333	FNBP1,GNAI2,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,MSN,RAP1A,ROCK1	
RAC Signaling	9E-01	2.17E-02	NaN	CFL2,ITGB1,RAP1A	
Reelin Signaling in Neurons	8.93E-01	2.16E-02	NaN	APOE,ITGB1,RAP1A	
Agrin Interactions at Neuromuscular Junction	8.89E-01	2.86E-02	NaN	ITGB1,RAP1A	
Neurovascular Coupling Signaling Pathway	8.48E-01	1.78E-02	0.000	Calm1 (includes others),KCNJ15,MPRIP,ROCK1	
Endocannabinoid Cancer Inhibition Pathway	8.42E-01	2.04E-02	NaN	GNAI2,NUPR1,ROCK1	
Dilated Cardiomyopathy Signaling Pathway	8.36E-01	2.03E-02	NaN	LMNA,MYH9,MYL6	
Hypoxia Signaling in the Cardiovascular System	8.33E-01	2.63E-02	NaN	HSP90AA1,NFKBIA	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	8.27E-01	5.56E-02	NaN	PMVK	
TREM1 Signaling	8.24E-01	2.6E-02	NaN	ICAM1,ITGB1	
Angiopoietin Signaling	8.24E-01	2.6E-02	NaN	NFKBIA,RAP1A	
PTEN Signaling	8.24E-01	2E-02	NaN	BMPR2,ITGB1,RAP1A	
Corticotropin Releasing Hormone Signaling	8.18E-01	1.99E-02	NaN	Calm1 (includes others),GNAI2,RAP1A	
Maturity Onset Diabetes of Young (MODY) Signaling	8.15E-01	2.56E-02	NaN	APOE,UCP2	
IL-7 Signaling Pathway	8.15E-01	2.56E-02	NaN	MCL1,MET	
Synaptogenesis Signaling Pathway	8.12E-01	1.58E-02	-1.342	APOE,Calm1 (includes others),CTNND1,RAP1A,THBS1	
Role of NFAT in Regulation of the Immune Response	8.04E-01	1.36E-02	-2.646	Calm1 (includes others),GNAI2,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,NFKBIA,RAP1A	
Factors Promoting Cardiogenesis in Vertebrates	8.04E-01	1.96E-02	NaN	BMPR2,PDIA3,ROCK1	
Renal Cell Carcinoma Signaling	7.96E-01	2.5E-02	NaN	MET,RAP1A	
Relaxin Signaling	7.93E-01	1.94E-02	NaN	GNAI2,NFKBIA,RAP1A	
BEX2 Signaling Pathway	7.88E-01	2.47E-02	NaN	BEX1,NFKBIA	
Type I Diabetes Mellitus Signaling	7.67E-01	1.38E-02	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,IFNGR1,IRF1,NFKBIA	
Endoplasmic Reticulum Stress Pathway	7.67E-01	4.76E-02	NaN	DNAJC3	
Inhibition of ARE-Mediated mRNA Degradation Pathway	7.59E-01	1.86E-02	NaN	PSMB8,ZFP36,ZFP36L1	
LPS-stimulated MAPK Signaling	7.57E-01	2.35E-02	NaN	NFKBIA,RAP1A	
Prolactin Signaling	7.47E-01	2.33E-02	NaN	IRF1,RAP1A	
CD28 Signaling in T Helper Cells	7.45E-01	1.35E-02	NaN	Calm1 (includes others),HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,MALT1,NFKBIA	
BMP signaling pathway	7.4E-01	2.3E-02	NaN	BMPR2,RAP1A	
Cardiomyocyte Differentiation via BMP Receptors	7.3E-01	4.35E-02	NaN	BMPR2	
TCA Cycle II (Eukaryotic)	7.3E-01	4.35E-02	NaN	CS	
Regulation of Cellular Mechanics by Calpain Protease	7.26E-01	2.25E-02	NaN	ITGB1,RAP1A	
Tumoricidal Function of Hepatic Natural Killer Cells	7.14E-01	4.17E-02	NaN	ICAM1	
Sperm Motility	7.12E-01	1.57E-02	NaN	Calm1 (includes others),GNAI2,MET,PDIA3	
Acute Myeloid Leukemia Signaling	7.1E-01	2.2E-02	NaN	JUP,RAP1A	
RANK Signaling in Osteoclasts	7.1E-01	2.2E-02	NaN	Calm1 (includes others),NFKBIA	
Mitochondrial Dysfunction	7.08E-01	1.75E-02	NaN	COX6A2,PINK1,UCP2	
Glioblastoma Multiforme Signaling	7.08E-01	1.75E-02	NaN	FNBP1,PDIA3,RAP1A	
CDP-diacylglycerol Biosynthesis I	6.97E-01	4E-02	NaN	ABHD5	
Non-Small Cell Lung Cancer Signaling	6.9E-01	2.13E-02	NaN	HDAC7,RAP1A	
ERBB Signaling	6.9E-01	2.13E-02	NaN	AREG,RAP1A	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	6.82E-01	3.85E-02	NaN	IFNGR1	
Small Cell Lung Cancer Signaling	6.76E-01	2.08E-02	NaN	HDAC7,NFKBIA	
IL-1 Signaling	6.76E-01	2.08E-02	NaN	GNAI2,NFKBIA	
Cardiac β-adrenergic Signaling	6.74E-01	1.69E-02	NaN	AKAP1,AKAP13,GNAI2	
Tumor Microenvironment Pathway	6.7E-01	1.68E-02	NaN	HLA-A,ICAM1,RAP1A	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	6.68E-01	3.7E-02	NaN	ABHD5	
UVA-Induced MAPK Signaling	6.64E-01	2.04E-02	NaN	PDIA3,RAP1A	
VEGF Signaling	6.56E-01	2.02E-02	NaN	RAP1A,ROCK1	
Colorectal Cancer Metastasis Signaling	6.52E-01	1.48E-02	NaN	FNBP1,GNAI2,IFNGR1,RAP1A	
Superpathway of Cholesterol Biosynthesis	6.4E-01	3.45E-02	NaN	PMVK	
PKCθ Signaling in T Lymphocytes	6.36E-01	1.25E-02	-2.646	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,MALT1,NFKBIA,RAP1A	
IL-17 Signaling	6.33E-01	1.6E-02	NaN	HSP90AA1,RAP1A,RGS16	
Sumoylation Pathway	6.31E-01	1.94E-02	NaN	FNBP1,NFKBIA	
Mouse Embryonic Stem Cell Pluripotency	6.25E-01	1.92E-02	NaN	BMPR2,RAP1A	
IGF-1 Signaling	6.25E-01	1.92E-02	NaN	IGFBP7,RAP1A	
GNRH Signaling	6.11E-01	1.56E-02	NaN	Calm1 (includes others),GNAI2,RAP1A	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	6.11E-01	1.56E-02	NaN	CLDN3,MET,RAP1A	
