© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Leukocyte Extravasation Signaling	5.99E00	7.77E-02	1.508	ACTG1,CLDN18,CLDN3,CLDN7,CTNND1,DLC1,EZR,FER,GNAI2,ICAM1,ITGB1,MSN,PTPN11,TIMP3,VCL	
LXR/RXR Activation	5.94E00	9.76E-02	-0.333	ABCA1,CD36,CLU,ECHS1,GC,IL33,IL6,ITIH4,LPL,LYZ,SCD,TNFRSF1A	
Estrogen Receptor Signaling	5.71E00	5.38E-02	1.941	ATP5F1B,ATP5F1C,CDKN1A,DDX5,EGF,FOS,GNAI2,GNAS,HSP90AB1,HSP90B1,JAK2,JUN,NCOA2,NDUFA3,NDUFA6,NDUFA7,NDUFB10,NDUFB11,NDUFB5,NR3C1,PDIA3,VEGFA	
Sirtuin Signaling Pathway	5.59E00	6.16E-02	2.138	ABCA1,APP,ATP5F1B,ATP5F1C,ATP5PF,H3-3A/H3-3B,JUN,LDHB,NDUFA3,NDUFA6,NDUFA7,NDUFB10,NDUFB11,NDUFB5,NFE2L2,SLC25A5,TUBA1C,UCP2	
Acute Phase Response Signaling	5.49E00	7.57E-02	3.464	FOS,HP,IL33,IL6,IL6ST,ITIH4,JAK2,JUN,NFKBIA,NR3C1,OSMR,PTPN11,SOCS2,TNFRSF1A	
Agranulocyte Adhesion and Diapedesis	5.43E00	7.01E-02	NaN	ACTG1,CLDN18,CLDN3,CLDN7,Cxcl15,CXCL2,EZR,GNAI2,ICAM1,IL33,ITGB1,MSN,MYH7,MYH9,TNFRSF1A	
Th1 and Th2 Activation Pathway	5.13E00	7.56E-02	NaN	BMPR2,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,ICAM1,IL33,IL6,IRF1,JAK2,JUN,MAF	
ILK Signaling	5.1E00	7E-02	1.069	ACTG1,FERMT2,FLNB,FOS,ITGB1,JUN,KRT18,MYH7,MYH9,NACA,RHOB,TNFRSF1A,VCL,VEGFA	
Tight Junction Signaling	4.97E00	7.3E-02	NaN	ACTG1,CLDN18,CLDN3,CLDN7,FOS,JUN,MYH7,MYH9,NECTIN3,TJP1,TJP2,TNFRSF1A,VCL	
IL-6 Signaling	4.95E00	8.59E-02	3.317	FOS,IL33,IL6,IL6ST,JAK2,JUN,MCL1,NFKBIA,PTPN11,TNFRSF1A,VEGFA	
Ferroptosis Signaling Pathway	4.83E00	8.33E-02	-0.302	ABCA1,ACSL4,CDKN1A,FTH1,GCLC,GPX4,NFE2L2,SLC1A5,SLC3A2,SQSTM1,WWTR1	
Role of PKR in Interferon Induction and Antiviral Response	4.71E00	8.09E-02	-0.302	ATF3,DNAJC3,FOS,HSP90AB1,HSP90B1,HSPA5,HSPA8,IRF1,JUN,NFKBIA,TNFRSF1A	
Th2 Pathway	4.68E00	8.03E-02	NaN	BMPR2,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,ICAM1,IL33,JAK2,JUN,MAF	
Neuroinflammation Signaling Pathway	4.53E00	5.36E-02	3.500	APP,BMPR2,FOS,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,ICAM1,IL6,JAK2,JUN,NFE2L2,PLA2G1B,S100G,TNFRSF1A	
Sertoli Cell-Sertoli Cell Junction Signaling	4.3E00	6.31E-02	NaN	ACTG1,CLDN18,CLDN3,CLDN7,ITGB1,JUN,NECTIN3,SPTBN1,TJP1,TJP2,TNFRSF1A,TUBA1C,VCL	
Role of JAK family kinases in IL-6-type Cytokine Signaling	4.28E00	2E-01	NaN	IL6,IL6ST,JAK2,OSMR,PTPN11	
JAK/STAT Signaling	4.15E00	9.76E-02	1.414	CDKN1A,FOS,IL6,JAK2,JUN,PTPN1,PTPN11,SOCS2	
PD-1, PD-L1 cancer immunotherapy pathway	4.12E00	8.49E-02	-1.667	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,JAK2,PTPN11,TNFRSF1A	
Granulocyte Adhesion and Diapedesis	4.04E00	6.35E-02	NaN	CLDN18,CLDN3,CLDN7,Cxcl15,CXCL2,EZR,GNAI2,ICAM1,IL33,ITGB1,MSN,TNFRSF1A	
Wound Healing Signaling Pathway	3.99E00	5.56E-02	1.604	BMPR2,COL12A1,EGF,FGFR2,FOS,HBEGF,IL33,IL6,ITGB1,JAK2,JUN,NFKBIA,TNFRSF1A,VEGFA	
PPARα/RXRα Activation	3.91E00	6.15E-02	-2.530	ABCA1,BMPR2,CD36,GNAS,HSP90AB1,HSP90B1,IL6,JAK2,JUN,LPL,NFKBIA,PDIA3	
Germ Cell-Sertoli Cell Junction Signaling	3.8E00	6.43E-02	NaN	ACTG1,CTNND1,FER,IQGAP1,ITGB1,NECTIN3,RHOB,TJP1,TNFRSF1A,TUBA1C,VCL	
Neuregulin Signaling	3.79E00	7.69E-02	0.816	AREG,EGF,ERRFI1,HBEGF,HSP90AB1,HSP90B1,ITGB1,PTPN11,RPS6	
Th1 Pathway	3.65E00	7.38E-02	2.121	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,ICAM1,IL6,IRF1,JAK2	
Caveolar-mediated Endocytosis Signaling	3.57E00	9.33E-02	NaN	ACTG1,EGF,FLNB,HLA-A,HLA-E,ITGB1,PTPN1	
Toll-like Receptor Signaling	3.47E00	8.97E-02	NaN	FOS,IL33,JUN,NFKBIA,RPS27A,Ubb,UBC	
Atherosclerosis Signaling	3.42E00	6.87E-02	NaN	CD36,CLU,ICAM1,IL33,IL6,LPL,LYZ,PLA2G1B,TNFRSF12A	
Renal Cell Carcinoma Signaling	3.4E00	8.75E-02	NaN	FOS,JUN,PTPN11,RPS27A,Ubb,UBC,VEGFA	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	3.39E00	5.76E-02	2.111	CAT,CLU,FOS,IRF1,JAK2,JUN,LYZ,NFKBIA,PPP1R10,RHOB,TNFRSF1A	
IL-17A Signaling in Fibroblasts	3.38E00	1.32E-01	NaN	FOS,IL6,JUN,LCN2,NFKBIA	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	3.37E00	5.73E-02	2.111	CLDN3,EGF,EGR1,FGFR2,FOS,IL6,JAK2,JUN,PTPN11,TNFRSF1A,WWTR1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	3.33E00	5.67E-02	NaN	COL12A1,ECE1,EGF,FGFR2,ICAM1,IL6,KLF6,MYH7,MYH9,TNFRSF1A,VEGFA	
Iron homeostasis signaling pathway	3.23E00	6.47E-02	NaN	ATP6V0B,ATP6V0C,ATP6V1G1,BMPR2,EGF,FTH1,HP,IL6,JAK2	
Prolactin Signaling	3.21E00	8.14E-02	2.449	FOS,IRF1,JAK2,JUN,NR3C1,PTPN11,SOCS2	
Oncostatin M Signaling	3.13E00	1.16E-01	2.236	CHI3L1,IL6ST,JAK2,OSMR,TIMP3	
Unfolded protein response	3.09E00	7.78E-02	1.633	DNAJB9,DNAJC3,HSP90B1,HSPA5,HSPA8,NFE2L2,PPP1R15A	
MIF Regulation of Innate Immunity	3.08E00	1.14E-01	1.342	CD74,FOS,JUN,NFKBIA,PLA2G1B	
B Cell Development	3.08E00	1.14E-01	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5	
IL-8 Signaling	3.05E00	5.24E-02	1.897	CSTB,FOS,GNAI2,GNAS,HBEGF,ICAM1,IQGAP1,JUN,NFKBIA,RHOB,VEGFA	
Tumor Microenvironment Pathway	3.03E00	5.59E-02	1.897	EGF,FOS,HLA-A,HLA-E,ICAM1,IL6,JAK2,JUN,TNFRSF1A,VEGFA	
IL-4 Signaling	3.01E00	7.53E-02	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,JAK2,NR3C1	
iNOS Signaling	2.95E00	1.06E-01	2.000	FOS,IRF1,JAK2,JUN,NFKBIA	
Glutathione Redox Reactions I	2.93E00	1.43E-01	NaN	GPX1,GPX4,Gsta4,PTGES	
Epithelial Adherens Junction Signaling	2.86E00	5.73E-02	0.333	BMPR2,CTNND1,EGF,FER,IQGAP1,NECTIN3,SFN,TNS1,VCL	
FAT10 Cancer Signaling Pathway	2.83E00	1E-01	1.342	BMPR2,EEF1A1,IL6,NFKBIA,TNFRSF1A	
ERK5 Signaling	2.81E00	8.11E-02	2.449	EGF,FOS,FOSL1,IL6ST,PTPN11,SFN	
Clathrin-mediated Endocytosis Signaling	2.78E00	5.18E-02	NaN	ACTG1,CLU,EGF,HSPA8,ITGB1,LYZ,RPS27A,Ubb,UBC,VEGFA	
IGF-1 Signaling	2.72E00	6.73E-02	2.236	FOS,IGFBP7,JAK2,JUN,PTPN11,SFN,SOCS2	
STAT3 Pathway	2.69E00	5.93E-02	1.633	BMPR2,CDKN1A,EGF,FGFR2,IL6ST,JAK2,SOCS2,VEGFA	
ID1 Signaling Pathway	2.67E00	5E-02	0.000	APP,ATF3,BMPR2,CDKN1A,EGF,EGR1,FGFR2,IL6,TNFRSF1A,VEGFA	
PPAR Signaling	2.65E00	6.54E-02	-2.646	FOS,HSP90AB1,HSP90B1,IL33,JUN,NFKBIA,TNFRSF1A	
Androgen Signaling	2.64E00	5.33E-02	NaN	GNAI2,GNAS,H3-3A/H3-3B,ITPR1,JUN,NCOA2,TAF1,TAF10,TAF7	
Inhibition of Angiogenesis by TSP1	2.61E00	1.18E-01	1.000	CD36,CD47,JUN,VEGFA	
Role of JAK2 in Hormone-like Cytokine Signaling	2.61E00	1.18E-01	NaN	JAK2,PTPN1,PTPN11,SOCS2	
Protein Ubiquitination Pathway	2.6E00	4.36E-02	NaN	BAG1,DNAJB9,DNAJC3,HLA-A,HLA-E,HSP90AB1,HSP90B1,HSPA5,HSPA8,RPS27A,Ubb,UBC	
Fatty Acid β-oxidation I	2.56E00	1.14E-01	0.000	ACAA2,ACSL4,ECHS1,ECI1	
HIF1α Signaling	2.55E00	4.81E-02	0.632	CDKN1A,EGF,HSPA5,HSPA8,IL6,JUN,LDHB,RACK1,RPS6,VEGFA	
PI3K Signaling in B Lymphocytes	2.53E00	5.59E-02	2.646	ATF3,CD81,FOS,ITPR1,JUN,MALT1,NFKBIA,PDIA3	
MIF-mediated Glucocorticoid Regulation	2.52E00	1.11E-01	0.000	CD74,NFKBIA,NR3C1,PLA2G1B	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	2.5E00	1.67E-01	NaN	ACAA2,FDPS,PMVK	
RHOGDI Signaling	2.44E00	4.65E-02	-1.134	ACTG1,DLC1,EZR,GNAI2,GNAS,ITGB1,MSN,MYH7,MYH9,RHOB	
Pulmonary Fibrosis Idiopathic Signaling Pathway	2.43E00	3.99E-02	2.309	ACTG1,AREG,BMPR2,COL12A1,EGR1,FGFR2,FOS,IL6,IL6ST,ITGB1,JAK2,JUN,WWTR1	
MSP-RON Signaling In Macrophages Pathway	2.39E00	5.88E-02	-1.134	FOS,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,JAK2,JUN	
Crosstalk between Dendritic Cells and Natural Killer Cells	2.36E00	6.59E-02	NaN	ACTG1,HLA-A,HLA-DRB5,HLA-E,IL6,TLN1	
Apelin Adipocyte Signaling Pathway	2.36E00	6.59E-02	-1.000	CAT,GNAI2,GPX1,GPX4,Gsta4,PTGES	
IL-17 Signaling	2.34E00	4.81E-02	3.000	FOS,HSP90AB1,HSP90B1,IL33,IL6,JAK2,JUN,LCN2,VEGFA	
Endoplasmic Reticulum Stress Pathway	2.3E00	1.43E-01	NaN	DNAJC3,HSP90B1,HSPA5	
Endothelin-1 Signaling	2.27E00	4.69E-02	1.414	ECE1,FOS,GNAI2,GNAS,ITPR1,JUN,PDIA3,PLA2G1B,PTGS1	
CD40 Signaling	2.27E00	7.46E-02	1.000	FOS,ICAM1,JUN,NFKBIA,PTGS1	
Aryl Hydrocarbon Receptor Signaling	2.25E00	5.03E-02	0.707	CDKN1A,FOS,HSP90AB1,HSP90B1,IL6,JUN,NCOA2,NFE2L2	
Remodeling of Epithelial Adherens Junctions	2.24E00	7.35E-02	NaN	ACTG1,CTNND1,IQGAP1,TUBA1C,VCL	
Signaling by Rho Family GTPases	2.23E00	4.1E-02	1.897	ACTG1,EZR,FOS,GNAI2,GNAS,IQGAP1,ITGB1,JUN,MSN,RHOB,STMN1	
G Protein Signaling Mediated by Tubby	2.2E00	9.09E-02	NaN	GNAI2,GNAS,JAK2,TUB	
Colorectal Cancer Metastasis Signaling	2.19E00	4.06E-02	2.530	EGF,FOS,GNAI2,GNAS,IL6,IL6ST,JAK2,JUN,RHOB,TNFRSF1A,VEGFA	
Gap Junction Signaling	2.19E00	4.55E-02	NaN	ACTG1,EGF,GNAI2,GNAS,ITPR1,PDIA3,TJP1,TJP2,TUBA1C	
Aldosterone Signaling in Epithelial Cells	2.17E00	4.88E-02	NaN	DNAJB9,DNAJC3,HSP90AB1,HSP90B1,HSPA5,HSPA8,ITPR1,PDIA3	
PI3K/AKT Signaling	2.17E00	4.52E-02	0.378	CDKN1A,HSP90AB1,HSP90B1,IL6ST,ITGB1,JAK2,MCL1,NFKBIA,SFN	
IL-10 Signaling	2.14E00	6.94E-02	NaN	FOS,IL33,IL6,JUN,NFKBIA	
IL-12 Signaling and Production in Macrophages	2.08E00	5.15E-02	NaN	CLU,FOS,IRF1,JUN,LYZ,MAF,NFKBIA	
Virus Entry via Endocytic Pathways	2.08E00	5.77E-02	NaN	ACTG1,CXADR,FLNB,HLA-A,HLA-E,ITGB1	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	2.06E00	6.67E-02	-0.447	ADRB2,GNAI2,GNAS,ITPR1,PDIA3	
Huntington's Disease Signaling	2.06E00	3.89E-02	1.633	ATP5F1B,ATP5F1C,ATP5PF,EGF,HSPA5,HSPA8,ITPR1,JUN,RPS27A,Ubb,UBC	
Actin Cytoskeleton Signaling	2.05E00	4.08E-02	1.000	ACTG1,EGF,EZR,IQGAP1,ITGB1,MSN,MYH7,MYH9,TLN1,VCL	
Hypoxia Signaling in the Cardiovascular System	2.04E00	6.58E-02	NaN	HSP90AB1,HSP90B1,JUN,NFKBIA,VEGFA	
Protein Kinase A Signaling	2.01E00	3.42E-02	-1.265	AKAP1,AKAP11,DUSP16,FLNB,GNAI2,GNAS,H3-3A/H3-3B,ITPR1,NFKBIA,PDIA3,PPP1R10,PTPN1,PTPN11,SFN	
Autophagy	1.96E00	4.19E-02	-0.333	EGF,FOS,JUN,SLC1A5,SLC3A2,SQSTM1,TNFRSF1A,VAMP8,VEGFA	
Cardiac Hypertrophy Signaling (Enhanced)	1.96E00	3.13E-02	2.000	ADRB2,BMPR2,FGFR2,GNAI2,GNAS,IL33,IL6,IL6ST,ITGB1,ITPR1,JAK2,JUN,PDIA3,RCAN1,RPS6,TG,TNFRSF1A	
TNFR1 Signaling	1.95E00	7.69E-02	2.000	FOS,JUN,NFKBIA,TNFRSF1A	
Prostanoid Biosynthesis	1.94E00	2E-01	NaN	PTGES,PTGS1	
BEX2 Signaling Pathway	1.93E00	6.17E-02	-0.447	BEX1,CDKN1A,JUN,NFKBIA,VEGFA	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	1.91E00	5.31E-02	-1.633	ATP6V0B,ATP6V0C,ATP6V1G1,JUN,NFKBIA,PLA2G1B	
Superpathway of Cholesterol Biosynthesis	1.9E00	1.03E-01	NaN	ACAA2,FDPS,PMVK	
IL-13 Signaling Pathway	1.86E00	5.17E-02	1.633	CD36,CHI3L1,HBEGF,IL33,JAK2,JUN	
Role of Tissue Factor in Cancer	1.86E00	5.17E-02	NaN	EGR1,HBEGF,ITGB1,JAK2,PTPN11,VEGFA	
EGF Signaling	1.86E00	7.27E-02	2.000	EGF,FOS,ITPR1,JUN	
Corticotropin Releasing Hormone Signaling	1.85E00	4.64E-02	1.000	FOS,GNAI2,GNAS,ITPR1,JUN,JUND,VEGFA	
CD27 Signaling in Lymphocytes	1.81E00	7.02E-02	NaN	FOS,JUN,NFKBIA,SIVA1	
TNFR2 Signaling	1.79E00	9.38E-02	NaN	FOS,JUN,NFKBIA	
Polyamine Regulation in Colon Cancer	1.79E00	6.9E-02	1.000	AZIN1,FOS,JUN,SLC3A2	
Methylthiopropionate Biosynthesis	1.77E00	1E00	NaN	ADI1	
Sorbitol Degradation I	1.77E00	1E00	NaN	SORD	
Histamine Biosynthesis	1.77E00	1E00	NaN	HDC	
Regulation of Cellular Mechanics by Calpain Protease	1.76E00	5.62E-02	NaN	EGF,EZR,ITGB1,TLN1,VCL	
IL-15 Production	1.75E00	4.88E-02	1.633	CLK1,FER,FGFR2,IL6,IRF1,JAK2	
eNOS Signaling	1.74E00	4.4E-02	-1.000	GNAS,HSP90AB1,HSP90B1,HSPA5,HSPA8,ITPR1,VEGFA	
Phagosome Maturation	1.74E00	4.4E-02	NaN	ATP6V0B,ATP6V0C,ATP6V1G1,HLA-A,HLA-DRB5,HLA-E,TUBA1C	
Oleate Biosynthesis II (Animals)	1.71E00	1.54E-01	NaN	CYB5A,SCD	
Pulmonary Healing Signaling Pathway	1.71E00	4.02E-02	2.121	BMPR2,EGF,FGFR2,HBEGF,NFKBIA,TNFRSF1A,VEGFA,WWTR1	
14-3-3-mediated Signaling	1.69E00	4.72E-02	2.236	FOS,JUN,PDIA3,SFN,TNFRSF1A,TUBA1C	
ERBB Signaling	1.67E00	5.32E-02	2.236	AREG,EGF,FOS,HBEGF,JUN	
Thrombopoietin Signaling	1.67E00	6.35E-02	2.000	FOS,JAK2,JUN,PTPN11	
Oxytocin Signaling Pathway	1.67E00	3.55E-02	0.632	CD36,FOS,GNAI2,IL6,ITPR1,LPL,MYH7,MYH9,NFE2L2,PLA2G1B	
Mevalonate Pathway I	1.65E00	1.43E-01	NaN	ACAA2,PMVK	
CLEAR Signaling Pathway	1.64E00	3.51E-02	0.000	ATP6V0B,ATP6V0C,ATP6V1G1,BMPR2,EGF,FGFR2,ITPR1,SFN,TNFRSF1A,VEGFA	
IL-1 Signaling	1.64E00	5.21E-02	1.000	FOS,GNAI2,GNAS,JUN,NFKBIA	
HMGB1 Signaling	1.64E00	4.19E-02	2.449	FOS,ICAM1,IL33,IL6,JUN,RHOB,TNFRSF1A	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.63E00	3.35E-02	NaN	FOS,ICAM1,IL33,IL6,IL6ST,JAK2,JUN,NFKBIA,PDIA3,TNFRSF1A,VEGFA	
HGF Signaling	1.61E00	4.55E-02	0.816	CDKN1A,FOS,IL6,ITGB1,JUN,PTPN11	
CXCR4 Signaling	1.61E00	4.14E-02	1.633	EGR1,FOS,GNAI2,GNAS,ITPR1,JUN,RHOB	
GABA Receptor Signaling	1.6E00	4.51E-02	NaN	GNAI2,GNAS,ITPR1,RPS27A,Ubb,UBC	
VEGF Signaling	1.59E00	5.05E-02	0.447	ACTG1,PTPN11,SFN,VCL,VEGFA	
Hepatic Fibrosis Signaling Pathway	1.57E00	3.08E-02	1.941	BMPR2,FOS,FTH1,GNAI2,ICAM1,IL33,ITGB1,JAK2,JUN,NFKBIA,RHOB,TNFRSF1A,VEGFA	
Sperm Motility	1.53E00	3.53E-02	0.000	CLK1,FER,FGFR2,GNAI2,GNAS,ITPR1,JAK2,PDIA3,PLA2G1B	
Sumoylation Pathway	1.52E00	4.85E-02	NaN	FOS,JUN,NFKBIA,NR3C1,RHOB	
Erythropoietin Signaling Pathway	1.52E00	3.95E-02	0.378	FOS,IL33,IL6,ITPR1,JAK2,JUN,NFKBIA	
MSP-RON Signaling In Cancer Cells Pathway	1.51E00	4.29E-02	0.816	FOS,ITGB1,JUN,NFKBIA,SFN,VEGFA	
Apelin Endothelial Signaling Pathway	1.49E00	4.26E-02	1.342	FOS,GNAI2,GNAS,ICAM1,JUN,KLF2	
April Mediated Signaling	1.48E00	7.14E-02	NaN	FOS,JUN,NFKBIA	
B Cell Activating Factor Signaling	1.45E00	6.98E-02	NaN	FOS,JUN,NFKBIA	
Isoleucine Degradation I	1.44E00	1.11E-01	NaN	ACAA2,ECHS1	
Dilated Cardiomyopathy Signaling Pathway	1.41E00	4.05E-02	-1.000	ACTG1,GNAS,ITPR1,MYH7,MYH9,PTPN11	
γ-linolenate Biosynthesis II (Animals)	1.4E00	1.05E-01	NaN	ACSL4,CYB5A	
TREM1 Signaling	1.39E00	5.19E-02	1.000	ICAM1,IL6,ITGB1,JAK2	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	1.39E00	5.19E-02	0.000	IL6,JUN,NFKBIA,PLA2G1B	
Antioxidant Action of Vitamin C	1.39E00	4.46E-02	-1.000	JAK2,NFKBIA,PDIA3,PLA2G1B,TXN	
Cellular Effects of Sildenafil (Viagra)	1.38E00	4E-02	NaN	ACTG1,GNAS,ITPR1,MYH7,MYH9,PDIA3	
VDR/RXR Activation	1.37E00	5.13E-02	NaN	CDKN1A,KLF4,NCOA2,S100G	
GNRH Signaling	1.36E00	3.65E-02	1.890	EGR1,FOS,GNAI2,GNAS,HBEGF,ITPR1,JUN	
Type II Diabetes Mellitus Signaling	1.35E00	3.92E-02	NaN	ACSL4,CD36,ITPR1,NFKBIA,SOCS2,TNFRSF1A	
Relaxin Signaling	1.32E00	3.87E-02	0.447	FOS,GNAI2,GNAS,JUN,NFKBIA,VEGFA	
Methylglyoxal Degradation I	1.3E00	3.33E-01	NaN	HAGH	
Glutathione Biosynthesis	1.3E00	3.33E-01	NaN	GCLC	
L-serine Degradation	1.3E00	3.33E-01	NaN	SRR	
Cholecystokinin/Gastrin-mediated Signaling	1.29E00	4.2E-02	2.236	FOS,IL33,ITPR1,JUN,RHOB	
Natural Killer Cell Signaling	1.29E00	3.52E-02	-0.378	HLA-A,HLA-E,HSPA5,HSPA8,ITGB1,JAK2,PTPN11	
MYC Mediated Apoptosis Signaling	1.29E00	6E-02	NaN	ADRB2,MCL1,TNFRSF1A	
Assembly of RNA Polymerase II Complex	1.29E00	6E-02	NaN	TAF1,TAF10,TAF7	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.29E00	6E-02	NaN	CDKN1A,RPRM,SFN	
HIPPO signaling	1.26E00	4.71E-02	NaN	PPP1R10,SFN,TJP2,WWTR1	
Ephrin Receptor Signaling	1.25E00	3.45E-02	0.447	EGF,GNAI2,GNAS,ITGB1,JAK2,PTPN11,VEGFA	
Cardiomyocyte Differentiation via BMP Receptors	1.25E00	8.7E-02	NaN	BMPR2,MYH7	
Vitamin-C Transport	1.25E00	8.7E-02	NaN	LRRC8C,TXN	
UVB-Induced MAPK Signaling	1.24E00	5.77E-02	NaN	FOS,H3-3A/H3-3B,JUN	
Xenobiotic Metabolism AHR Signaling Pathway	1.23E00	4.6E-02	0.000	HSP90AB1,HSP90B1,IL6,NCOA2	
FXR/RXR Activation	1.21E00	3.97E-02	NaN	CLU,GC,IL33,ITIH4,LPL	
Pancreatic Adenocarcinoma Signaling	1.21E00	3.97E-02	2.236	CDKN1A,EGF,HBEGF,JAK2,VEGFA	
PRPP Biosynthesis I	1.18E00	2.5E-01	NaN	PRPS2	
Glutathione Redox Reactions II	1.18E00	2.5E-01	NaN	PDIA3	
Fatty Acid β-oxidation III (Unsaturated, Odd Number)	1.18E00	2.5E-01	NaN	ECI1	
