© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
3-phosphoinositide Degradation	3.49E00	3.14E-02	NaN	DUSP1,DUSP6,PPP2CA,PPP2CB,PPP2R5A,SOCS3	
Colorectal Cancer Metastasis Signaling	3.47E00	2.58E-02	-1.633	FOS,GNA12,IL6,JUN,RHOB,RRAS,SIAH1	
Clathrin-mediated Endocytosis Signaling	3.47E00	3.11E-02	NaN	ACTB,ACTG1,HSPA8,LYZ,Ubb,UBC	
Synaptic Long Term Depression	3.44E00	3.08E-02	0.447	GNA12,PPP2CA,PPP2CB,PPP2R5A,PRDX6,RRAS	
Agrin Interactions at Neuromuscular Junction	3.44E00	5.71E-02	-2.000	ACTB,ACTG1,JUN,RRAS	
D-myo-inositol-5-phosphate Metabolism	3.44E00	3.08E-02	NaN	DUSP1,DUSP6,PPP2CA,PPP2CB,PPP2R5A,SOCS3	
14-3-3-mediated Signaling	3.43E00	3.94E-02	-1.000	FOS,JUN,RRAS,TSC2,TUBA1C	
IL-10 Signaling	3.4E00	5.56E-02	NaN	FOS,IL6,JUN,SOCS3	
PI3K/AKT Signaling	3.4E00	3.02E-02	1.342	MCL1,PPP2CA,PPP2CB,PPP2R5A,RRAS,TSC2	
Huntington's Disease Signaling	3.36E00	2.47E-02	NaN	DNAJB1,HSPA8,JUN,PSMB8,PSMB9,Ubb,UBC	
HGF Signaling	3.36E00	3.79E-02	-2.236	CDK2,FOS,IL6,JUN,RRAS	
p70S6K Signaling	3.36E00	3.79E-02	1.342	PPP2CA,PPP2CB,PPP2R5A,RPS6,RRAS	
Ferroptosis Signaling Pathway	3.36E00	3.79E-02	-0.447	ABCA1,FTH1,GCLC,NFE2L2,RRAS	
RAR Activation	3.34E00	2.94E-02	NaN	ACTB,DUSP1,FOS,JUN,PNRC1,SMAD7	
Caveolar-mediated Endocytosis Signaling	3.33E00	5.33E-02	NaN	ACTB,ACTG1,B2M,HLA-A	
3-phosphoinositide Biosynthesis	3.33E00	2.93E-02	NaN	DUSP1,DUSP6,PPP2CA,PPP2CB,PPP2R5A,SOCS3	
Adipogenesis pathway	3.31E00	3.7E-02	NaN	CEBPB,CEBPD,NR1D1,SAP30,SAP30L	
Role of PKR in Interferon Induction and Antiviral Response	3.3E00	3.68E-02	-1.342	ATF3,FOS,HSPA8,IRF1,JUN	
Th2 Pathway	3.28E00	3.65E-02	NaN	HLA-A,HLA-DMB,JUN,MAF,SOCS3	
Toll-like Receptor Signaling	3.27E00	5.13E-02	NaN	FOS,JUN,Ubb,UBC	
Integrin Signaling	3.24E00	2.82E-02	-2.449	ACTB,ACTG1,MYL12B,RHOB,RRAS,VCL	
Apelin Endothelial Signaling Pathway	3.23E00	3.55E-02	NaN	FOS,GNA12,JUN,KLF2,RRAS	
Autophagy	3.22E00	2.79E-02	-2.449	FOS,JUN,PPP2CA,PPP2CB,PPP2R5A,TSC2	
Hereditary Breast Cancer Signaling	3.21E00	3.52E-02	NaN	ACTB,GADD45G,RRAS,Ubb,UBC	
PI3K Signaling in B Lymphocytes	3.2E00	3.5E-02	-2.236	ATF3,FOS,JUN,MALT1,RRAS	
Cyclins and Cell Cycle Regulation	3.14E00	4.76E-02	1.000	CDK2,PPP2CA,PPP2CB,PPP2R5A	
HIPPO signaling	3.12E00	4.71E-02	1.000	AMOT,PPP2CA,PPP2CB,PPP2R5A	
HER-2 Signaling in Breast Cancer	3.1E00	2.64E-02	-0.816	FOS,HBEGF,JUN,RPS6,RRAS,TSC2	
Superpathway of Inositol Phosphate Compounds	3.03E00	2.56E-02	NaN	DUSP1,DUSP6,PPP2CA,PPP2CB,PPP2R5A,SOCS3	
Hepatic Fibrosis Signaling Pathway	3.01E00	1.9E-02	-2.121	CEBPB,FOS,FTH1,JUN,MYL12B,RHOB,RRAS,SMAD7	
Crosstalk between Dendritic Cells and Natural Killer Cells	3.01E00	4.4E-02	NaN	ACTB,ACTG1,HLA-A,IL6	
Aryl Hydrocarbon Receptor Signaling	2.99E00	3.14E-02	-2.236	CDK2,FOS,IL6,JUN,NFE2L2	
Phagosome Maturation	2.99E00	3.14E-02	NaN	B2M,HLA-A,PRDX6,RILP,TUBA1C	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.98E00	2.13E-02	NaN	CEBPB,CEBPD,FOS,IL6,JUN,RRAS,SOCS3	
ERBB Signaling	2.96E00	4.26E-02	-2.000	FOS,HBEGF,JUN,RRAS	
AMPK Signaling	2.94E00	2.46E-02	1.000	ACTB,GNA12,PPP2CA,PPP2CB,PPP2R5A,TSC2	
Actin Cytoskeleton Signaling	2.93E00	2.45E-02	-2.449	ACTB,ACTG1,GNA12,MYL12B,RRAS,VCL	
TGF-β Signaling	2.93E00	4.17E-02	-1.000	FOS,JUN,RRAS,SMAD7	
MIF Regulation of Innate Immunity	2.91E00	6.82E-02	NaN	CD74,FOS,JUN	
HMGB1 Signaling	2.9E00	2.99E-02	-2.236	FOS,IL6,JUN,RHOB,RRAS	
VEGF Signaling	2.88E00	4.04E-02	-1.000	ACTB,ACTG1,RRAS,VCL	
iNOS Signaling	2.83E00	6.38E-02	NaN	FOS,IRF1,JUN	
IGF-1 Signaling	2.8E00	3.85E-02	-1.000	FOS,JUN,RRAS,SOCS3	
Cardiac Hypertrophy Signaling	2.8E00	2.31E-02	-2.236	GNA12,IL6,JUN,MYL12B,RHOB,RRAS	
T Cell Exhaustion Signaling Pathway	2.79E00	1.59E-02	-1.342	FOS,HLA-A,HLA-DMB,IL6,JUN,PPP2CA,PPP2CB,PPP2R5A,RRAS	
PD-1, PD-L1 cancer immunotherapy pathway	2.77E00	3.77E-02	2.000	B2M,CDK2,HLA-A,HLA-DMB	
Tumor Microenvironment Pathway	2.76E00	2.79E-02	-1.342	FOS,HLA-A,IL6,JUN,RRAS	
Telomerase Signaling	2.75E00	3.74E-02	1.000	PPP2CA,PPP2CB,PPP2R5A,RRAS	
Paxillin Signaling	2.74E00	3.7E-02	-2.000	ACTB,ACTG1,RRAS,VCL	
UVC-Induced MAPK Signaling	2.72E00	5.88E-02	NaN	FOS,JUN,RRAS	
Endothelin-1 Signaling	2.63E00	2.6E-02	-2.000	FOS,GNA12,JUN,PRDX6,RRAS	
GNRH Signaling	2.63E00	2.6E-02	-2.236	EGR1,FOS,HBEGF,JUN,RRAS	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	2.63E00	2.6E-02	-2.236	EGR1,FOS,IL6,JUN,RRAS	
IL-13 Signaling Pathway	2.63E00	3.45E-02	-1.000	DUSP1,HBEGF,JUN,SOCS3	
Role of Tissue Factor in Cancer	2.63E00	3.45E-02	NaN	EGR1,GNA12,HBEGF,RRAS	
Neuregulin Signaling	2.61E00	3.42E-02	0.000	ERRFI1,HBEGF,RPS6,RRAS	
Gap Junction Signaling	2.57E00	2.53E-02	NaN	ACTB,ACTG1,RRAS,TJP1,TUBA1C	
ID1 Signaling Pathway	2.55E00	2.5E-02	-0.447	ATF3,BHLHE40,EGR1,IL6,RRAS	
T Cell Receptor Signaling	2.55E00	1.47E-02	-2.333	B2M,DUSP6,FOS,H2-T22,HLA-A,HLA-DMB,JUN,MALT1,RRAS	
Sirtuin Signaling Pathway	2.54E00	2.05E-02	-0.816	ABCA1,DUSP6,GADD45G,JUN,NFE2L2,TUBA1C	
LXR/RXR Activation	2.53E00	3.25E-02	0.000	ABCA1,IL6,LYZ,SERPINF1	
PCP (Planar Cell Polarity) Pathway	2.52E00	5E-02	NaN	JUN,JUNB,JUND	
RHOA Signaling	2.52E00	3.23E-02	-2.000	ACTB,ACTG1,GNA12,MYL12B	
IL-2 Signaling	2.5E00	4.92E-02	NaN	FOS,JUN,RRAS	
HIF1α Signaling	2.48E00	2.4E-02	-0.447	HSPA8,IL6,JUN,RPS6,RRAS	
Thrombopoietin Signaling	2.46E00	4.76E-02	NaN	FOS,JUN,RRAS	
Estrogen Receptor Signaling	2.45E00	1.72E-02	-2.646	DDX5,FOS,GNA12,HES1,JUN,MYL12B,RRAS	
RHOGDI Signaling	2.42E00	2.33E-02	2.000	ACTB,ACTG1,GNA12,MYL12B,RHOB	
Gα12/13 Signaling	2.41E00	3.01E-02	-2.000	GNA12,JUN,MYL12B,RRAS	
Glutamine Biosynthesis I	2.32E00	1E00	NaN	GLUL	
Xenobiotic Metabolism General Signaling Pathway	2.3E00	2.8E-02	-2.000	GCLC,MAF,NFE2L2,RRAS	
Glioma Invasiveness Signaling	2.28E00	4.11E-02	NaN	RHOB,RRAS,TIMP3	
ERK5 Signaling	2.27E00	4.05E-02	NaN	FOS,GNA12,RRAS	
Molecular Mechanisms of Cancer	2.24E00	1.57E-02	NaN	CDK2,FOS,GNA12,JUN,RHOB,RRAS,SMAD7	
GDNF Family Ligand-Receptor Interactions	2.23E00	3.95E-02	NaN	FOS,JUN,RRAS	
Corticotropin Releasing Hormone Signaling	2.22E00	2.65E-02	NaN	FOS,JUN,JUND,NR4A1	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	2.22E00	3.9E-02	NaN	IL6,JUN,PRDX6	
VDR/RXR Activation	2.2E00	3.85E-02	NaN	CEBPB,HES1,KLF4	
Neurotrophin/TRK Signaling	2.2E00	3.85E-02	NaN	FOS,JUN,RRAS	
IL-7 Signaling Pathway	2.2E00	3.85E-02	NaN	CDK2,JUN,MCL1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.2E00	8E-02	NaN	IL6,SOCS3	
IL-3 Signaling	2.19E00	3.8E-02	NaN	FOS,JUN,RRAS	
Thyroid Cancer Signaling	2.19E00	3.8E-02	NaN	FOS,JUN,RRAS	
Dopamine Receptor Signaling	2.19E00	3.8E-02	NaN	PPP2CA,PPP2CB,PPP2R5A	
Chemokine Signaling	2.17E00	3.75E-02	NaN	FOS,JUN,RRAS	
G-Protein Coupled Receptor Signaling	2.17E00	1.28E-02	-0.333	AMOT,DUSP1,DUSP6,FOS,GNA12,JUN,MYL12B,RGS16,RRAS	
IL-17A Signaling in Gastric Cells	2.16E00	7.69E-02	NaN	FOS,JUN	
Estrogen-Dependent Breast Cancer Signaling	2.16E00	3.7E-02	NaN	FOS,JUN,RRAS	
Role of NFAT in Regulation of the Immune Response	2.13E00	1.36E-02	-1.890	FOS,GNA12,HLA-A,HLA-DMB,JUN,KPNA4,RCAN1,RRAS	
BAG2 Signaling Pathway	2.11E00	3.57E-02	NaN	HSPA8,PSMB8,PSMB9	
LPS-stimulated MAPK Signaling	2.1E00	3.53E-02	NaN	FOS,JUN,RRAS	
Aldosterone Signaling in Epithelial Cells	2.09E00	2.44E-02	NaN	DNAJB1,DUSP1,HSPA8,HSPB8	
PDGF Signaling	2.09E00	3.49E-02	NaN	FOS,JUN,RRAS	
BMP signaling pathway	2.07E00	3.45E-02	NaN	JUN,RRAS,SMAD7	
Androgen Signaling	2.05E00	2.37E-02	NaN	DNAJB1,GNA12,JUN,TAF7	
Regulation of Cellular Mechanics by Calpain Protease	2.04E00	3.37E-02	NaN	CDK2,RRAS,VCL	
Glioblastoma Multiforme Signaling	2.03E00	2.34E-02	-1.000	CDK2,RHOB,RRAS,TSC2	
Actin Nucleation by ARP-WASP Complex	1.99E00	3.23E-02	NaN	GNA12,RHOB,RRAS	
IL-4 Signaling	1.99E00	3.23E-02	NaN	HLA-A,HLA-DMB,RRAS	
TNFR2 Signaling	1.99E00	6.25E-02	NaN	FOS,JUN	
Erythropoietin Signaling Pathway	1.98E00	2.26E-02	-1.000	FOS,IL6,JUN,RRAS	
Cardiac β-adrenergic Signaling	1.97E00	2.25E-02	NaN	GNA12,PPP2CA,PPP2CB,PPP2R5A	
IL-1 Signaling	1.95E00	3.12E-02	NaN	FOS,GNA12,JUN	
Opioid Signaling Pathway	1.95E00	1.79E-02	NaN	FOS,FOSB,GNA12,RGS16,RRAS	
Oxytocin Signaling Pathway	1.94E00	1.78E-02	-2.236	FOS,GNA12,IL6,NFE2L2,RRAS	
p53 Signaling	1.93E00	3.06E-02	NaN	CDK2,GADD45G,JUN	
UVA-Induced MAPK Signaling	1.93E00	3.06E-02	NaN	FOS,JUN,RRAS	
CLEAR Signaling Pathway	1.92E00	1.75E-02	-1.342	PPP2CA,PPP2CB,PPP2R5A,RRAS,TSC2	
IL-9 Signaling	1.91E00	5.71E-02	NaN	CISH,SOCS3	
DNA Methylation and Transcriptional Repression Signaling	1.91E00	5.71E-02	NaN	MBD2,SAP30	
Interferon Signaling	1.89E00	5.56E-02	NaN	IRF1,PSMB8	
Xenobiotic Metabolism CAR Signaling Pathway	1.88E00	2.11E-02	-2.000	CYP2B6,PPP2CA,PPP2CB,PPP2R5A	
Sumoylation Pathway	1.87E00	2.91E-02	NaN	FOS,JUN,RHOB	
Leukocyte Extravasation Signaling	1.85E00	2.07E-02	NaN	ACTB,ACTG1,TIMP3,VCL	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.84E00	2.06E-02	NaN	COL12A1,IL6,KLF6,SMAD7	
Glutathione Biosynthesis	1.84E00	3.33E-01	NaN	GCLC	
PPARα/RXRα Activation	1.84E00	2.05E-02	1.000	ABCA1,IL6,JUN,RRAS	
PPAR Signaling	1.83E00	2.8E-02	NaN	FOS,JUN,RRAS	
Natural Killer Cell Signaling	1.81E00	2.01E-02	0.000	B2M,HLA-A,HSPA8,RRAS	
Cardiac Hypertrophy Signaling (Enhanced)	1.81E00	1.29E-02	-1.134	GNA12,IL6,JUN,RCAN1,RPS6,RRAS,TSC2	
Mechanisms of Viral Exit from Host Cells	1.78E00	4.88E-02	NaN	ACTB,ACTG1	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	1.77E00	2.65E-02	NaN	JUN,PRDX6,RRAS	
April Mediated Signaling	1.76E00	4.76E-02	NaN	FOS,JUN	
B Cell Activating Factor Signaling	1.74E00	4.65E-02	NaN	FOS,JUN	
Oncostatin M Signaling	1.74E00	4.65E-02	NaN	RRAS,TIMP3	
Regulation of Actin-based Motility by Rho	1.74E00	2.59E-02	NaN	ACTB,MYL12B,RHOB	
B Cell Development	1.72E00	4.55E-02	NaN	HLA-A,HLA-DMB	
CDC42 Signaling	1.68E00	1.22E-02	NaN	B2M,FOS,H2-T22,HLA-A,HLA-DMB,JUN,MYL12B	
Renin-Angiotensin Signaling	1.68E00	2.46E-02	NaN	FOS,JUN,RRAS	
Thrombin Signaling	1.63E00	1.78E-02	NaN	GNA12,MYL12B,RHOB,RRAS	
G Beta Gamma Signaling	1.62E00	2.33E-02	NaN	GNA12,HBEGF,RRAS	
Breast Cancer Regulation by Stathmin1	1.61E00	1.18E-02	-1.134	CDK2,JUN,PPP2CA,PPP2CB,PPP2R5A,RRAS,TUBA1C	
Atherosclerosis Signaling	1.6E00	2.29E-02	NaN	IL6,LYZ,PRDX6	
TNFR1 Signaling	1.59E00	3.85E-02	NaN	FOS,JUN	
UVB-Induced MAPK Signaling	1.59E00	3.85E-02	NaN	FOS,JUN	
P2Y Purigenic Receptor Signaling Pathway	1.58E00	2.26E-02	NaN	FOS,JUN,RRAS	
GABA Receptor Signaling	1.58E00	2.26E-02	NaN	GNA12,Ubb,UBC	
Osteoarthritis Pathway	1.57E00	1.69E-02	0.000	CEBPB,HES1,SMAD7,TIMP3	
STAT3 Pathway	1.57E00	2.22E-02	NaN	CISH,RRAS,SOCS3	
EGF Signaling	1.54E00	3.64E-02	NaN	FOS,JUN	
FAT10 Signaling Pathway	1.53E00	3.57E-02	NaN	PSMB8,PSMB9	
Insulin Receptor Signaling	1.52E00	2.14E-02	NaN	RRAS,SOCS3,TSC2	
MSP-RON Signaling In Cancer Cells Pathway	1.52E00	2.14E-02	NaN	FOS,JUN,RRAS	
CD27 Signaling in Lymphocytes	1.51E00	3.51E-02	NaN	FOS,JUN	
Polyamine Regulation in Colon Cancer	1.5E00	3.45E-02	NaN	FOS,JUN	
MSP-RON Signaling Pathway	1.5E00	3.45E-02	NaN	ACTB,ACTG1	
GADD45 Signaling	1.47E00	3.33E-02	NaN	CDK2,GADD45G	
Cellular Effects of Sildenafil (Viagra)	1.46E00	2.01E-02	NaN	ACTB,ACTG1,MYL12B	
Relaxin Signaling	1.41E00	1.94E-02	NaN	FOS,GNA12,JUN	
PXR/RXR Activation	1.41E00	3.08E-02	NaN	CYP2B6,IL6	
Activation of IRF by Cytosolic Pattern Recognition Receptors	1.41E00	3.08E-02	NaN	IL6,JUN	
ERB2-ERBB3 Signaling	1.41E00	3.08E-02	NaN	JUN,RRAS	
Circadian Rhythm Signaling	1.4E00	1.49E-02	NaN	BHLHE40,DBP,NR1D1,RRAS	
CD40 Signaling	1.39E00	2.99E-02	NaN	FOS,JUN	
Role of JAK1 and JAK3 in γc Cytokine Signaling	1.36E00	2.9E-02	NaN	RRAS,SOCS3	
SPINK1 General Cancer Pathway	1.36E00	2.9E-02	NaN	IL6,RRAS	
GM-CSF Signaling	1.35E00	2.86E-02	NaN	CISH,RRAS	
Growth Hormone Signaling	1.34E00	2.82E-02	NaN	FOS,SOCS3	
Gαq Signaling	1.31E00	1.76E-02	NaN	GNA12,RGS16,RHOB	
PKCθ Signaling in T Lymphocytes	1.28E00	1.08E-02	-2.449	FOS,HLA-A,HLA-DMB,JUN,MALT1,RRAS	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.24E00	1.64E-02	NaN	PPP2CA,PPP2CB,PPP2R5A	
Role of MAPK Signaling in the Pathogenesis of Influenza	1.23E00	2.44E-02	NaN	PRDX6,RRAS	
γ-glutamyl Cycle	1.22E00	7.69E-02	NaN	GCLC	
VEGF Family Ligand-Receptor Interactions	1.21E00	2.38E-02	NaN	FOS,RRAS	
PEDF Signaling	1.21E00	2.38E-02	NaN	RRAS,SERPINF1	
Oxytocin In Brain Signaling Pathway	1.16E00	1.52E-02	NaN	IL6,PRDX6,RRAS	
Adrenomedullin signaling pathway	1.15E00	1.51E-02	NaN	CEBPB,FOS,RRAS	
RANK Signaling in Osteoclasts	1.15E00	2.2E-02	NaN	FOS,JUN	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.13E00	2.13E-02	NaN	ACTB,ACTG1	
Death Receptor Signaling	1.11E00	2.08E-02	NaN	ACTB,ACTG1	
RAN Signaling	1.11E00	5.88E-02	NaN	KPNA4	
CTLA4 Signaling in Cytotoxic T Lymphocytes	1.1E00	1.05E-02	NaN	B2M,HLA-A,PPP2CA,PPP2CB,PPP2R5A	
OX40 Signaling Pathway	1.09E00	1.04E-02	NaN	B2M,H2-T22,HLA-A,HLA-DMB,JUN	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	1.08E00	5.56E-02	NaN	IL6	
DNA damage-induced 14-3-3σ Signaling	1.06E00	5.26E-02	NaN	CDK2	
Apoptosis Signaling	1.05E00	1.92E-02	NaN	MCL1,RRAS	
Role of NFAT in Cardiac Hypertrophy	1.04E00	1.35E-02	NaN	IL6,RCAN1,RRAS	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.03E00	1.34E-02	NaN	FOS,IL6,JUN	
α-Adrenergic Signaling	1.02E00	1.85E-02	NaN	GNA12,RRAS	
NUR77 Signaling in T Lymphocytes	1E00	9.77E-03	NaN	B2M,H2-T22,HLA-A,HLA-DMB,NR4A1	
CD28 Signaling in T Helper Cells	9.87E-01	9.67E-03	NaN	FOS,HLA-A,HLA-DMB,JUN,MALT1	
Prostate Cancer Signaling	9.83E-01	1.75E-02	NaN	CDK2,RRAS	
Apelin Cardiac Fibroblast Signaling Pathway	9.79E-01	4.35E-02	NaN	IL6	
IL-22 Signaling	9.63E-01	4.17E-02	NaN	SOCS3	
PAK Signaling	9.59E-01	1.69E-02	NaN	MYL12B,RRAS	
Sphingosine-1-phosphate Signaling	9.47E-01	1.67E-02	NaN	GNA12,RHOB	
Bupropion Degradation	9.47E-01	4E-02	NaN	CYP2B6	
Estrogen-mediated S-phase Entry	9.32E-01	3.85E-02	NaN	CDK2	
IL-15 Production	9.28E-01	1.63E-02	NaN	IL6,IRF1	
Pancreatic Adenocarcinoma Signaling	9.14E-01	1.59E-02	NaN	CDK2,HBEGF	
Pregnenolone Biosynthesis	9.14E-01	3.7E-02	NaN	CYP2B6	
